solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,mape,nrmse,decomp.rssd,rsq_train,lambda,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
1_16_6,facebook_I,124041.969302528,2308028.1417232,0.0139849975036747,25087.2624100347,0.00805905513211842,2308028.1417232,0.0139849975036747,25087.2624100347,0.00805905513211842,TRUE,0.181827675117088,0.122333480972922,0,0.0599933386053846,0.196210825099684,0.930980689934982,321074.323819979,6,16,1,1,96,3,5988890.41190929,136111.145725211,0.181827675117088,0.122333480972922,0.318550267935099,0.385384934934447,2.59480822770122,43358.2419397193,0.000439758128777612
1_16_6,holiday,0.951871907372412,4312164.34135806,0.026128627489049,269510.271334879,0.0865777261727529,4312164.34135806,0.026128627489049,269510.271334879,0.0865777261727529,TRUE,,,0,0.0599933386053846,0.196210825099684,0.930980689934982,321074.323819979,6,16,1,1,96,3,,,,,,,,,
1_16_6,newsletter,489451.104225871,3124827.56548301,0.0189342170109184,33965.5170161196,0.0109111137656185,3124827.56548301,0.0189342170109184,33965.5170161196,0.0109111137656185,TRUE,,,0,0.0599933386053846,0.196210825099684,0.930980689934982,321074.323819979,6,16,1,1,96,3,,,,,,,,,
1_16_6,ooh_S,295780.154140541,5441479.65309169,0.032971469450094,59146.5179683879,0.0190002815528173,5441479.65309169,0.032971469450094,59146.5179683879,0.0190002815528173,TRUE,0.310911157955088,0.288417257819498,0,0.0599933386053846,0.196210825099684,0.930980689934982,321074.323819979,6,16,1,1,96,3,10240536,262577.846153846,0.310911157955088,0.288417257819498,0.357446178775242,0.531366683647388,1.88193959232791,93857.4477387256,0.182543398157577
1_16_6,print_S,305194.38912318,2964634.81094208,0.0179635636502149,32224.2914232835,0.0103517608629077,2964634.81094208,0.0179635636502149,32224.2914232835,0.0103517608629077,TRUE,0.0848043521333921,0.157135907348716,0,0.0599933386053846,0.196210825099684,0.930980689934982,321074.323819979,6,16,1,1,96,3,2793216,77589.3333333333,0.0848043521333921,0.157135907348716,0.933639553936296,1.06136969390913,0.942178776856632,72440.4705635479,1.49716834240826
1_16_6,search_clicks_P,164412.693438444,4470035.10533404,0.027085211249964,48587.3381014569,0.0156082409504313,4470035.10533404,0.027085211249964,48587.3381014569,0.0156082409504313,TRUE,0.111321014032676,0.236927334039525,0,0.0599933386053846,0.196210825099684,0.930980689934982,321074.323819979,6,16,1,1,96,3,3666600,47618.1818181818,0.111321014032676,0.236927334039525,1.14359211124664,1.21912264913927,0.82026201441342,54455.7770791807,1.69561157810676
1_16_6,season,0.374067821032031,-3017471.63915185,-0.018283716986848,-32798.6047733897,-0.0105362538090079,-3017471.63915185,-0.018283716986848,-32798.6047733897,-0.0105362538090079,FALSE,,,0,0.0599933386053846,0.196210825099684,0.930980689934982,321074.323819979,6,16,1,1,96,3,,,,,,,,,
1_16_6,trend,0.248317123637211,69003975.6483209,0.418114671021689,750043.213568705,0.240944568236495,69003975.6483209,0.418114671021689,750043.213568705,0.240944568236495,TRUE,,,0,0.0599933386053846,0.196210825099684,0.930980689934982,321074.323819979,6,16,1,1,96,3,,,,,,,,,
1_16_6,tv_S,589776.670577623,3682514.5743518,0.022313400863087,40027.3323299108,0.0128584168637446,3682514.5743518,0.022313400863087,40027.3323299108,0.0128584168637446,TRUE,0.311135800761756,0.195186019819338,0,0.0599933386053846,0.196210825099684,0.930980689934982,321074.323819979,6,16,1,1,96,3,10247935.1,256198.3775,0.311135800761756,0.195186019819338,0.14384536314747,0.359342105352697,2.78286341929926,36852.9486492801,0.297839439663221
1_17_4,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,,,0,0.0601906922483776,0.152098549927882,0.930525852224164,292550.965809729,4,17,1,1,100,1,,,,,,,,,
